epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,52.5338,0.74884,0.42756,0.96952,0.94496,0.98784,0.96949,0.7532,0.94464,0.39092,1.09418,0.000600384,0.000600384,0.000600384
43,53.6248,0.71709,0.42115,0.95755,0.95763,0.98776,0.97372,0.7451,0.96798,0.40995,1.09824,0.000580174,0.000580174,0.000580174
44,54.8888,0.74916,0.43393,0.97575,0.96762,0.98066,0.98987,0.72314,1.14083,0.44713,1.1736,0.000559964,0.000559964,0.000559964
45,56.3435,0.78362,0.44124,0.96474,0.96766,0.98757,0.98859,0.73391,1.0984,0.44519,1.1627,0.000539754,0.000539754,0.000539754
46,57.4052,0.74163,0.40644,0.94452,0.97211,0.98745,0.98449,0.77119,0.88201,0.36172,1.0736,0.000519544,0.000519544,0.000519544
47,58.612,0.78415,0.42357,0.96848,0.97211,0.98745,0.98449,0.77119,0.88201,0.36172,1.0736,0.000499333,0.000499333,0.000499333
48,60.4847,0.67758,0.39726,0.93054,0.94607,1,0.97981,0.77152,0.91334,0.39211,1.08454,0.000479123,0.000479123,0.000479123
49,61.6001,0.69096,0.37941,0.91299,0.94647,0.99431,0.97173,0.70648,1.15663,0.39878,1.19087,0.000458913,0.000458913,0.000458913
50,62.7294,0.70292,0.36716,0.93727,0.94857,0.98926,0.95929,0.69115,1.15138,0.38688,1.17466,0.000438703,0.000438703,0.000438703
51,63.8314,0.6816,0.3681,0.94106,0.94657,0.98706,0.95929,0.74029,1.05218,0.38846,1.11766,0.000418493,0.000418493,0.000418493
52,64.9874,0.63647,0.4122,0.90417,0.92183,0.97246,0.96839,0.76391,1.07486,0.4226,1.13323,0.000398283,0.000398283,0.000398283
53,66.0948,0.62387,0.35765,0.90683,0.92183,0.97246,0.96839,0.76391,1.07486,0.4226,1.13323,0.000378073,0.000378073,0.000378073
54,67.3239,0.70366,0.4383,0.94609,0.91693,0.97165,0.96708,0.74657,1.19652,0.4445,1.21741,0.000357862,0.000357862,0.000357862
55,68.5572,0.69253,0.36607,0.94634,0.94666,0.96114,0.9695,0.69914,1.36233,0.47084,1.34829,0.000337652,0.000337652,0.000337652
56,69.812,0.6512,0.4176,0.92089,0.9393,0.9864,0.96949,0.68916,1.3967,0.46041,1.3714,0.000317442,0.000317442,0.000317442
57,70.9677,0.69607,0.3457,0.95228,0.94548,0.97509,0.96949,0.7309,1.28401,0.42931,1.27686,0.000297232,0.000297232,0.000297232
58,72.0446,0.64631,0.34745,0.9148,0.94548,0.97509,0.96949,0.7309,1.28401,0.42931,1.27686,0.000277022,0.000277022,0.000277022
59,73.2839,0.66554,0.34676,0.96699,0.94032,0.97413,0.96949,0.75024,1.17527,0.40461,1.19203,0.000256812,0.000256812,0.000256812
60,74.4947,0.61433,0.32321,0.89649,0.94553,0.95933,0.96949,0.75154,1.05185,0.39385,1.12068,0.000236602,0.000236602,0.000236602
61,76.6335,0.59462,0.33181,0.90393,0.93086,0.95882,0.97167,0.76618,0.98774,0.40146,1.09435,0.000216391,0.000216391,0.000216391
62,77.7713,0.59064,0.31155,0.87003,0.92931,0.95873,0.97372,0.76134,0.99447,0.41744,1.10196,0.000196181,0.000196181,0.000196181
