epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,44.8603,1.14519,0.82264,1.36795,0.81145,0.9337,0.94354,0.58334,1.55855,0.91915,1.62902,0.000933851,0.000933851,0.000933851
30,46.5651,1.23919,0.87278,1.42819,0.93912,1,0.97173,0.59557,1.47468,0.79344,1.54689,0.000916168,0.000916168,0.000916168
31,48.3686,1.21072,0.9621,1.44465,0.93912,1,0.97173,0.59557,1.47468,0.79344,1.54689,0.000898484,0.000898484,0.000898484
32,49.6897,1.18929,0.80652,1.43331,0.94018,1,0.97548,0.60345,1.447,0.79964,1.54374,0.0008808,0.0008808,0.0008808
33,51.0112,1.28914,0.86909,1.47021,0.94696,1,0.97173,0.60379,1.45958,0.78022,1.52767,0.000863116,0.000863116,0.000863116
34,52.4466,1.18077,0.86729,1.40252,0.92667,1,0.9721,0.65576,1.20045,0.71017,1.37413,0.000845432,0.000845432,0.000845432
35,53.8116,1.24944,0.90594,1.49149,0.94697,1,0.97372,0.59538,1.39087,0.8128,1.49062,0.000827748,0.000827748,0.000827748
36,55.4336,1.17691,0.83214,1.38902,0.94697,1,0.97372,0.59538,1.39087,0.8128,1.49062,0.000810064,0.000810064,0.000810064
37,56.814,1.14649,0.87546,1.39449,0.94301,0.99803,0.97476,0.63197,1.34691,0.83607,1.50388,0.00079238,0.00079238,0.00079238
38,58.0607,1.14362,0.87614,1.4004,0.93748,1,0.97258,0.63259,1.35592,0.7919,1.53531,0.000774697,0.000774697,0.000774697
39,59.4636,1.15965,0.83209,1.40945,0.94455,1,0.97776,0.61067,1.4627,0.73365,1.57584,0.000757013,0.000757013,0.000757013
40,60.8029,1.21855,0.83767,1.42819,0.94406,1,0.98223,0.63873,1.41338,0.65535,1.54348,0.000739329,0.000739329,0.000739329
41,62.2215,1.19,0.77753,1.43058,0.94406,1,0.98223,0.63873,1.41338,0.65535,1.54348,0.000721645,0.000721645,0.000721645
42,63.8728,1.21216,0.83312,1.45076,0.94218,1,0.98647,0.60182,1.50128,0.72525,1.58943,0.000703961,0.000703961,0.000703961
43,65.2116,1.22735,0.77506,1.40012,0.94732,1,0.96131,0.5699,1.61908,0.8279,1.68298,0.000686277,0.000686277,0.000686277
44,66.6749,1.12645,0.76636,1.36573,0.9432,1,0.9611,0.63393,1.3857,0.81773,1.53432,0.000668593,0.000668593,0.000668593
45,67.9256,1.10331,0.77489,1.36767,0.94588,1,0.95466,0.68558,1.14756,0.70836,1.38126,0.000650909,0.000650909,0.000650909
46,69.1952,1.17884,0.81587,1.42522,0.94483,1,0.94762,0.62827,1.26585,0.71636,1.44722,0.000633226,0.000633226,0.000633226
