epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.70714,2.15809,3.12607,2.29609,0.56132,0.69182,0.75651,0.54056,1.12844,2.04301,1.50964,0.00017148,0.00017148,0.00017148
2,5.58578,1.59001,1.9428,1.72677,0.70789,0.82861,0.85258,0.3998,1.58371,2.43566,1.70097,0.000352829,0.000352829,0.000352829
3,6.9879,1.43464,1.62068,1.6251,0.87221,0.91014,0.93882,0.49686,1.63918,1.98623,1.74235,0.00052958,0.00052958,0.00052958
4,8.37998,1.4026,1.4496,1.54559,0.58869,0.7089,0.57894,0.23531,2.02601,2.75701,2.00987,0.000701734,0.000701734,0.000701734
5,9.74773,1.39975,1.33883,1.51102,0.65105,0.925,0.89733,0.50889,1.54979,2.31889,1.61741,0.000869289,0.000869289,0.000869289
6,11.1744,1.39913,1.34038,1.59076,0.83444,0.867,0.88454,0.47124,1.72918,1.6334,1.71163,0.00103225,0.00103225,0.00103225
7,12.5303,1.43578,1.46049,1.60564,0.75826,0.66667,0.72255,0.34454,1.73913,3.14499,2.0264,0.00119061,0.00119061,0.00119061
8,14.0733,1.39633,1.35387,1.59861,0.69397,0.92397,0.85611,0.44364,1.79714,2.22232,1.99698,0.00130521,0.00130521,0.00130521
9,15.3937,1.45394,1.27704,1.63717,0.69397,0.92397,0.85611,0.44364,1.79714,2.22232,1.99698,0.00128753,0.00128753,0.00128753
10,16.9194,1.43234,1.32251,1.60971,0.6889,0.98155,0.92244,0.53078,1.53041,1.67501,1.74468,0.00126985,0.00126985,0.00126985
11,18.3041,1.33674,1.21598,1.53983,0.92431,0.98768,0.96995,0.6156,1.35607,1.08178,1.61238,0.00125216,0.00125216,0.00125216
12,20.0159,1.34013,1.1994,1.51977,0.8462,0.97176,0.96336,0.51365,1.5083,1.34495,1.67837,0.00123448,0.00123448,0.00123448
13,21.3217,1.35677,1.1679,1.54358,0.76985,0.96738,0.87106,0.58413,1.16131,1.08397,1.49375,0.00121679,0.00121679,0.00121679
14,22.6882,1.32304,1.14492,1.5641,0.71199,0.94002,0.79996,0.47736,1.38587,1.27592,1.62839,0.00119911,0.00119911,0.00119911
15,24.0467,1.33031,1.11094,1.48822,0.71199,0.94002,0.79996,0.47736,1.38587,1.27592,1.62839,0.00118143,0.00118143,0.00118143
16,25.7001,1.39348,1.02571,1.61559,0.79409,0.96027,0.951,0.70857,1.13873,1.02594,1.46754,0.00116374,0.00116374,0.00116374
17,27.2026,1.24838,1.06708,1.44478,0.90464,0.97805,0.9318,0.45606,1.72648,1.26321,1.81674,0.00114606,0.00114606,0.00114606
18,28.6051,1.28041,0.97814,1.46897,0.77076,0.94118,0.80426,0.4805,1.53402,1.23497,1.63319,0.00112837,0.00112837,0.00112837
19,30.2323,1.28733,0.95309,1.48542,0.70442,0.96952,0.92052,0.65385,1.27242,1.36632,1.49217,0.00111069,0.00111069,0.00111069
20,31.708,1.23224,0.94053,1.45231,0.70442,0.96952,0.92052,0.65385,1.27242,1.36632,1.49217,0.00109301,0.00109301,0.00109301
21,33.3039,1.26513,0.95076,1.44591,0.94477,1,0.95548,0.64246,1.43442,0.84583,1.54761,0.00107532,0.00107532,0.00107532
22,34.7565,1.24422,0.89235,1.46764,0.94275,1,0.98859,0.69592,1.26969,0.79391,1.45821,0.00105764,0.00105764,0.00105764
23,36.1102,1.22733,0.92176,1.46584,0.93579,1,0.96943,0.62216,1.52025,0.94009,1.61247,0.00103995,0.00103995,0.00103995
24,37.5437,1.26752,0.93585,1.4519,0.93982,0.9995,0.9578,0.57621,1.45893,0.91005,1.56757,0.00102227,0.00102227,0.00102227
25,39.2494,1.21712,0.91391,1.43939,0.93982,0.9995,0.9578,0.57621,1.45893,0.91005,1.56757,0.00100459,0.00100459,0.00100459
26,40.6317,1.14738,0.95459,1.39983,0.92722,1,0.95548,0.65256,1.30524,0.81788,1.50069,0.000986903,0.000986903,0.000986903
27,42.0771,1.1747,0.90412,1.39785,0.93697,0.99367,0.94762,0.55632,1.53991,0.81203,1.63745,0.000969219,0.000969219,0.000969219
28,43.4097,1.16297,0.83386,1.37273,0.94662,0.99765,0.95464,0.5784,1.54497,0.77907,1.63364,0.000951535,0.000951535,0.000951535
